,parent,child,group,type
1556,Filipino,Tagalog,78,train
1557,Filipino,Visayan,78,train
1558,Visayan,Cebuan,78,train
1559,Russian,Mordva,78,train
1560,Russian,Karelian,78,train
1561,Russian,Cheremis,78,train
1562,Russian,Georgian,78,train
1563,Russian,Vogul,78,train
1564,Russian,Ostyak,78,train
1565,Russian,Selkup,78,train
1566,Russian,Komi,78,train
1567,Russian,Yeniseian,78,train
1568,Russian,Chechen,78,train
1569,Russian,Nganasan,78,train
1570,Russian,Veps,78,train
1571,Russian,Udmurt,78,train
1572,Russian,Siberian,78,train
1573,Russian,Samoyed,78,train
1574,Russian,Muscovite,78,train
1575,Russian,Tatar,78,train
1576,Russian,Ingrian,78,train
1577,Russian,Great Russian,78,train
1578,Siberian,Chukchi,78,train
1698,toothed whale,beaked whale,86,train
1699,toothed whale,sperm whale,86,train
1700,toothed whale,dwarf sperm whale,86,train
1701,toothed whale,pygmy sperm whale,86,train
1702,toothed whale,dolphin,86,train
1703,beaked whale,bottle-nosed whale,86,train
1704,dolphin,white whale,86,train
1705,dolphin,common dolphin,86,train
1706,dolphin,killer whale,86,train
1707,dolphin,pilot whale,86,train
1708,dolphin,river dolphin,86,train
1709,dolphin,bottlenose dolphin,86,train
1710,dolphin,grampus,86,train
1711,dolphin,porpoise,86,train
1712,bottlenose dolphin,Atlantic bottlenose dolphin,86,train
1713,bottlenose dolphin,Pacific bottlenose dolphin,86,train
1714,porpoise,harbor porpoise,86,train
1715,porpoise,vaquita,86,train
1740,examination,bank examination,88,train
1741,examination,ophthalmoscopy,88,train
1742,examination,comparison,88,train
1743,examination,once-over,88,train
1744,examination,survey,88,train
1745,examination,rhinoscopy,88,train
1746,examination,audit,88,train
1747,examination,testing,88,train
1748,examination,scan,88,train
1749,examination,palpation,88,train
1750,examination,gonioscopy,88,train
1751,examination,fine-tooth comb,88,train
1752,examination,endoscopy,88,train
1753,examination,search,88,train
1754,examination,going-over,88,train
1755,examination,checkup,88,train
1756,examination,inspection,88,train
1757,examination,keratoscopy,88,train
1758,examination,follow-up,88,train
1759,examination,autopsy,88,train
1760,examination,time and motion study,88,train
1761,comparison,likening,88,train
1762,comparison,confrontation,88,train
1763,comparison,collation,88,train
1764,comparison,analogy,88,train
1765,comparison,contrast,88,train
1766,survey,resurvey,88,train
1767,testing,screening,88,train
1768,screening,genetic screening,88,train
1769,palpation,ballottement,88,train
1770,endoscopy,gastroscopy,88,train
1771,endoscopy,proctoscopy,88,train
1772,endoscopy,sigmoidoscopy,88,train
1773,endoscopy,celioscopy,88,train
1774,endoscopy,hysteroscopy,88,train
1775,endoscopy,colonoscopy,88,train
1776,endoscopy,culdoscopy,88,train
1777,inspection,check,88,train
1778,check,spot check,88,train
1820,male child,bat boy,92,train
1821,male child,Fauntleroy,92,train
1822,male child,ball boy,92,train
1823,male child,farm boy,92,train
1824,male child,cub,92,train
1825,male child,shop boy,92,train
1826,male child,catamite,92,train
1827,male child,schoolboy,92,train
1828,male child,plowboy,92,train
1829,male child,altar boy,92,train
1830,male child,Scout,92,train
1831,Scout,Boy Scout,92,train
1832,Scout,Girl Scout,92,train
1833,Boy Scout,Cub Scout,92,train
1834,Boy Scout,Sea Scout,92,train
1835,Boy Scout,Eagle Scout,92,train
1836,Boy Scout,rover,92,train
1837,Girl Scout,Brownie,92,train
2007,shelter,refuge,101,train
2008,shelter,dugout,101,train
2009,shelter,haven,101,train
2010,shelter,cookhouse,101,train
2011,shelter,loft,101,train
2012,shelter,tent,101,train
2013,shelter,hovel,101,train
2014,shelter,storm cellar,101,train
2015,shelter,sconce,101,train
2016,shelter,fallout shelter,101,train
2017,shelter,mantelet,101,train
2018,shelter,hut,101,train
2019,refuge,safehold,101,train
2020,refuge,harbor,101,train
2021,refuge,safe house,101,train
2022,tent,umbrella tent,101,train
2023,tent,tepee,101,train
2024,tent,backpacking tent,101,train
2025,tent,praetorium,101,train
2026,tent,fly tent,101,train
2027,tent,cabana,101,train
2028,tent,pop tent,101,train
2029,tent,mountain tent,101,train
2030,tent,lean-to tent,101,train
2031,tent,tupik,101,train
2032,tent,bell tent,101,train
2033,tent,canvas tent,101,train
2034,tent,pup tent,101,train
2035,tent,pavilion,101,train
2036,tent,two-man tent,101,train
2037,tent,cottage tent,101,train
2038,tent,pyramidal tent,101,train
2039,canvas tent,Sibley tent,101,train
2040,canvas tent,field tent,101,train
2041,canvas tent,wall tent,101,train
2042,canvas tent,circus tent,101,train
2043,hovel,mudhif,101,train
2044,hovel,igloo,101,train
2045,hut,Nissen hut,101,train
2109,percussion instrument,steel drum,105,train
2110,percussion instrument,glockenspiel,105,train
2111,percussion instrument,chime,105,train
2112,percussion instrument,cymbal,105,train
2113,percussion instrument,vibraphone,105,train
2114,percussion instrument,lagerphone,105,train
2115,percussion instrument,rain stick,105,train
2116,percussion instrument,bones,105,train
2117,percussion instrument,triangle,105,train
2118,percussion instrument,gong,105,train
2119,percussion instrument,marimba,105,train
2120,percussion instrument,kettle,105,train
2121,percussion instrument,piano,105,train
2122,percussion instrument,drum,105,train
2123,percussion instrument,maraca,105,train
2124,chime,carillon,105,train
2125,chime,handbell,105,train
2126,cymbal,zill,105,train
2127,cymbal,high-hat cymbal,105,train
2128,piano,grand piano,105,train
2129,piano,mechanical piano,105,train
2130,piano,upright,105,train
2131,grand piano,baby grand,105,train
2132,grand piano,concert grand,105,train
2133,upright,spinet,105,train
2134,drum,tambourine,105,train
2135,drum,tabor,105,train
2136,drum,timbrel,105,train
2137,drum,tambour,105,train
2138,drum,snare drum,105,train
2139,drum,tenor drum,105,train
2140,drum,bass drum,105,train
2141,drum,bongo,105,train
2759,anemia,iron deficiency anemia,137,train
2760,anemia,erythroblastosis fetalis,137,train
2761,anemia,aplastic anemia,137,train
2762,anemia,ischemia,137,train
2763,anemia,hypoplastic anemia,137,train
2764,anemia,hyperchromic anemia,137,train
2765,anemia,macrocytic anemia,137,train
2766,anemia,pernicious anemia,137,train
2767,anemia,microcytic anemia,137,train
2768,anemia,Fanconi's anemia,137,train
2769,anemia,refractory anemia,137,train
2770,anemia,sickle-cell anemia,137,train
2771,anemia,hypochromic anemia,137,train
2772,anemia,hemolytic anemia,137,train
2773,anemia,favism,137,train
2774,iron deficiency anemia,chlorosis,137,train
2775,ischemia,transient ischemic attack,137,train
2776,ischemia,ischemic stroke,137,train
2777,pernicious anemia,metaplastic anemia,137,train
2778,pernicious anemia,megaloblastic anemia,137,train
2779,refractory anemia,sideroblastic anemia,137,train
2780,hypochromic anemia,thalassemia,137,train
2781,thalassemia,Cooley's anemia,137,train
2782,marital status,widowhood,138,train
2783,marital status,civil union,138,train
2784,marital status,spinsterhood,138,train
2785,marital status,marriage,138,train
2786,marital status,bachelorhood,138,train
2787,marriage,cuckoldom,138,train
2788,marriage,endogamy,138,train
2789,marriage,open marriage,138,train
2790,marriage,exogamy,138,train
2791,marriage,common-law marriage,138,train
2792,marriage,polygamy,138,train
2793,marriage,monogamy,138,train
2794,marriage,sigeh,138,train
2795,marriage,misalliance,138,train
2796,marriage,bigamy,138,train
2797,marriage,marriage of convenience,138,train
2798,marriage,monandry,138,train
2799,polygamy,polyandry,138,train
2800,polygamy,polygyny,138,train
2801,monogamy,serial monogamy,138,train
2802,monogamy,monogyny,138,train
2803,misalliance,mesalliance,138,train
3004,wit,esprit de l'escalier,150,train
3005,wit,repartee,150,train
3006,wit,joke,150,train
3007,wit,caricature,150,train
3008,wit,sarcasm,150,train
3009,wit,bon mot,150,train
3010,wit,fun,150,train
3011,wit,cartoon,150,train
3012,wit,ribaldry,150,train
3013,wit,topper,150,train
3014,wit,pungency,150,train
3015,wit,jeu d'esprit,150,train
3016,repartee,banter,150,train
3017,banter,persiflage,150,train
3018,banter,badinage,150,train
3019,joke,sick joke,150,train
3020,joke,sight gag,150,train
3021,joke,ethnic joke,150,train
3022,joke,dirty joke,150,train
3023,joke,funny story,150,train
3024,joke,in-joke,150,train
3025,joke,one-liner,150,train
3026,joke,belly laugh,150,train
3027,joke,shaggy dog story,150,train
3028,caricature,mock-heroic,150,train
3029,caricature,parody,150,train
3030,fun,pun,150,train
3031,fun,jocosity,150,train
3032,fun,waggery,150,train
3033,fun,drollery,150,train
3034,cartoon,comic strip,150,train
3465,piciform bird,puffbird,171,train
3466,piciform bird,woodpecker,171,train
3467,piciform bird,barbet,171,train
3468,piciform bird,jacamar,171,train
3469,piciform bird,honey guide,171,train
3470,piciform bird,toucan,171,train
3471,woodpecker,redheaded woodpecker,171,train
3472,woodpecker,green woodpecker,171,train
3473,woodpecker,flicker,171,train
3474,woodpecker,piculet,171,train
3475,woodpecker,ivorybill,171,train
3476,woodpecker,wryneck,171,train
3477,woodpecker,sapsucker,171,train
3478,woodpecker,downy woodpecker,171,train
3479,flicker,gilded flicker,171,train
3480,flicker,red-shafted flicker,171,train
3481,flicker,yellow-shafted flicker,171,train
3482,sapsucker,yellow-bellied sapsucker,171,train
3483,sapsucker,red-breasted sapsucker,171,train
3484,toucan,toucanet,171,train
3582,auk,great auk,177,train
3583,auk,razorbill,177,train
3584,auk,guillemot,177,train
3585,auk,auklet,177,train
3586,auk,little auk,177,train
3587,guillemot,black guillemot,177,train
3588,guillemot,murre,177,train
3589,guillemot,pigeon guillemot,177,train
3590,murre,thick-billed murre,177,train
3591,murre,common murre,177,train
3624,apple tree,crab apple,180,train
3625,apple tree,apple,180,train
3626,apple tree,wild apple,180,train
3627,crab apple,Southern crab apple,180,train
3628,crab apple,Siberian crab,180,train
3629,wild apple,wild crab,180,train
3630,wild apple,Iowa crab,180,train
3631,wild apple,American crab apple,180,train
3632,wild apple,Oregon crab apple,180,train
3633,Iowa crab,Bechtel crab,180,train
3690,beginning,resumption,184,train
3691,beginning,jump ball,184,train
3692,beginning,housing start,184,train
3693,beginning,installation,184,train
3694,beginning,first step,184,train
3695,beginning,face-off,184,train
3696,beginning,groundbreaking,184,train
3697,beginning,Creation,184,train
3698,beginning,scrum,184,train
3699,beginning,activation,184,train
3700,beginning,inauguration,184,train
3701,beginning,springboard,184,train
3702,beginning,attack,184,train
3703,beginning,introduction,184,train
3704,beginning,icebreaker,184,train
3705,beginning,startup,184,train
3706,beginning,initiation,184,train
3707,beginning,kickoff,184,train
3708,beginning,constitution,184,train
3709,jump ball,tip-off,184,train
3710,first step,first base,184,train
3711,first step,peace initiative,184,train
3712,first step,curtain raiser,184,train
3713,introduction,ushering in,184,train
3714,introduction,naturalization,184,train
3715,introduction,product introduction,184,train
3716,introduction,induction,184,train
3717,induction,hypnogenesis,184,train
3718,induction,induction of labor,184,train
3719,initiation,authorship,184,train
3720,constitution,federation,184,train
3721,constitution,unionization,184,train
3722,constitution,colonization,184,train
3723,constitution,communization,184,train
3724,constitution,collectivization,184,train
3725,colonization,population,184,train
3893,gymnosperm,cycad,193,train
3894,gymnosperm,seed fern,193,train
3895,gymnosperm,progymnosperm,193,train
3896,gymnosperm,welwitschia,193,train
3897,cycad,zamia,193,train
3898,cycad,encephalartos,193,train
3899,cycad,kaffir bread,193,train
3900,cycad,ceratozamia,193,train
3901,cycad,macrozamia,193,train
3902,cycad,burrawong,193,train
3903,cycad,sago palm,193,train
3904,cycad,dioon,193,train
3905,zamia,coontie,193,train
3906,sago palm,false sago,193,train
4011,terror,terrorism,198,train
4012,terrorism,domestic terrorism,198,train
4013,terrorism,chemical terrorism,198,train
4014,terrorism,cyber-terrorism,198,train
4015,terrorism,theoterrorism,198,train
4016,terrorism,terrorist attack,198,train
4017,terrorism,bioterrorism,198,train
4018,terrorism,Red Hand Defenders,198,train
4019,terrorism,nuclear terrorism,198,train
4020,terrorism,state-sponsored terrorism,198,train
4021,terrorism,narcoterrorism,198,train
4022,terrorism,international terrorism,198,train
4023,terrorism,ecoterrorism,198,train
4024,terrorist attack,9/11,198,train
4062,pouch,pocket,200,train
4063,pouch,sporran,200,train
4064,pouch,tobacco pouch,200,train
4065,pouch,waist pack,200,train
4066,pouch,mailbag,200,train
4067,pocket,vest pocket,200,train
4068,pocket,hip pocket,200,train
4069,pocket,patch pocket,200,train
4070,pocket,breast pocket,200,train
4071,pocket,slash pocket,200,train
4072,vest pocket,fob,200,train
4073,waist pack,fanny pack,200,train
4074,mailbag,diplomatic pouch,200,train
4314,ornithischian,ornithopod,212,train
4315,ornithischian,pisanosaur,212,train
4316,ornithischian,armored dinosaur,212,train
4317,ornithischian,hadrosaur,212,train
4318,ornithischian,bone-headed dinosaur,212,train
4319,ornithischian,ceratopsian,212,train
4320,ornithischian,staurikosaur,212,train
4321,armored dinosaur,ankylosaur,212,train
4322,armored dinosaur,stegosaur,212,train
4323,ankylosaur,Edmontonia,212,train
4324,hadrosaur,corythosaur,212,train
4325,hadrosaur,edmontosaurus,212,train
4326,hadrosaur,anatotitan,212,train
4327,hadrosaur,trachodon,212,train
4328,bone-headed dinosaur,pachycephalosaur,212,train
4329,ceratopsian,triceratops,212,train
4330,ceratopsian,protoceratops,212,train
4331,ceratopsian,psittacosaur,212,train
4332,ceratopsian,styracosaur,212,train
4382,electro-acoustic transducer,loudspeaker,215,train
4383,electro-acoustic transducer,microphone,215,train
4384,electro-acoustic transducer,cartridge,215,train
4385,electro-acoustic transducer,earphone,215,train
4386,loudspeaker,woofer,215,train
4387,loudspeaker,squawk box,215,train
4388,loudspeaker,subwoofer,215,train
4389,loudspeaker,tweeter,215,train
4390,loudspeaker,tannoy,215,train
4391,loudspeaker,bullhorn,215,train
4392,microphone,crystal microphone,215,train
4393,microphone,directional microphone,215,train
4394,microphone,bug,215,train
4395,microphone,spike mike,215,train
4396,microphone,condenser microphone,215,train
4397,directional microphone,cardioid microphone,215,train
4398,cartridge,crystal pickup,215,train
4399,earphone,earplug,215,train
4400,earphone,telephone receiver,215,train
4401,telephone receiver,headset,215,train
4773,component,be-all and end-all,236,train
4774,component,point,236,train
4775,component,plot element,236,train
4776,point,intersection,236,train
4777,point,attractor,236,train
4778,point,intercept,236,train
4779,intersection,metacenter,236,train
4780,intersection,vertex,236,train
4781,attractor,strange attractor,236,train
4782,plot element,McGuffin,236,train
4866,misrepresentation,evasion,242,train
4867,misrepresentation,bill of goods,242,train
4868,misrepresentation,fraudulence,242,train
4869,misrepresentation,snow job,242,train
4870,misrepresentation,pretense,242,train
4871,misrepresentation,subterfuge,242,train
4872,misrepresentation,trickery,242,train
4873,misrepresentation,humbug,242,train
4874,misrepresentation,facade,242,train
4875,misrepresentation,exaggeration,242,train
4876,misrepresentation,half-truth,242,train
4877,evasion,hedge,242,train
4878,evasion,doublespeak,242,train
4879,evasion,circumlocution,242,train
4880,evasion,quibble,242,train
4881,pretense,hypocrisy,242,train
4882,pretense,pretext,242,train
4883,pretense,bluff,242,train
4884,hypocrisy,crocodile tears,242,train
4885,pretext,putoff,242,train
4959,fitting,pipefitting,247,train
4960,fitting,receptacle,247,train
4961,fitting,gas fitting,247,train
4962,pipefitting,reducer,247,train
4963,receptacle,wall socket,247,train
4964,receptacle,socket,247,train
4965,receptacle,slot,247,train
4966,receptacle,outlet box,247,train
4967,wall socket,point,247,train
4968,socket,electric socket,247,train
5028,emotional state,unhappiness,251,train
5029,emotional state,happiness,251,train
5030,emotional state,ecstasy,251,train
5031,emotional state,embarrassment,251,train
5032,emotional state,state,251,train
5033,emotional state,gratification,251,train
5034,unhappiness,embitterment,251,train
5035,unhappiness,sadness,251,train
5036,sadness,poignance,251,train
5037,sadness,mourning,251,train
5038,happiness,radiance,251,train
5039,happiness,blessedness,251,train
5040,blessedness,nirvana,251,train
5041,gratification,quality of life,251,train
5042,gratification,comfort,251,train
5246,cultivation,aquaculture,262,train
5247,cultivation,culture,262,train
5248,cultivation,farming,262,train
5249,cultivation,beekeeping,262,train
5250,cultivation,tilling,262,train
5251,culture,monoculture,262,train
5252,culture,cranberry culture,262,train
5253,culture,tillage,262,train
5254,culture,viticulture,262,train
5255,farming,arboriculture,262,train
5256,farming,truck farming,262,train
5257,farming,mixed farming,262,train
5258,farming,dairying,262,train
5259,farming,gardening,262,train
5260,farming,subsistence farming,262,train
5261,farming,animal husbandry,262,train
5262,farming,planting,262,train
5263,farming,strip cropping,262,train
5264,farming,hydroponics,262,train
5265,farming,ranching,262,train
5266,gardening,landscaping,262,train
5267,gardening,flower gardening,262,train
5268,gardening,market gardening,262,train
5269,planting,insemination,262,train
5270,hydroponics,drip culture,262,train
5271,ranching,roundup,262,train
5272,tilling,plowing,262,train
5315,Niger-Congo,Gur,265,train
5316,Niger-Congo,West African,265,train
5317,Niger-Congo,Mande,265,train
5318,Niger-Congo,Bantu,265,train
5319,Niger-Congo,Kwa,265,train
5320,Niger-Congo,Sango,265,train
5321,West African,Wolof,265,train
5322,West African,Serer,265,train
5323,West African,Fula,265,train
5324,Bantu,Fang,265,train
5325,Bantu,Kongo,265,train
5326,Bantu,Sotho,265,train
5327,Bantu,Mashi,265,train
5328,Bantu,Nyamwezi,265,train
5329,Bantu,Mwera,265,train
5330,Bantu,Nguni,265,train
5331,Bantu,Herero,265,train
5332,Bantu,Luba,265,train
5333,Bantu,LuGanda,265,train
5334,Bantu,Luyia,265,train
5335,Bantu,Chichewa,265,train
5336,Bantu,ChiMwini,265,train
5337,Bantu,Chishona,265,train
5338,Bantu,Shona,265,train
5339,Bantu,Gikuyu,265,train
5340,Bantu,Tonga,265,train
5341,Bantu,Kamba,265,train
5342,Bantu,Giriama,265,train
5343,Bantu,Kichaga,265,train
5344,Bantu,Umbundu,265,train
5345,Bantu,Swahili,265,train
5346,Bantu,Kinyarwanda,265,train
5347,Bantu,Kiswahili,265,train
5348,Bantu,Pokomo,265,train
5349,Sotho,Sesotho,265,train
5350,Sotho,Tswana,265,train
5351,Nguni,Xhosa,265,train
5352,Nguni,Ndebele,265,train
5353,Nguni,Zulu,265,train
5354,Nguni,Swazi,265,train
5355,Kwa,Yoruba,265,train
5356,Kwa,Akan,265,train
5357,Kwa,Ewe,265,train
5397,computer file,read-only file,268,train
5398,computer file,input file,268,train
5399,computer file,transaction file,268,train
5400,computer file,disk file,268,train
5401,computer file,master file,268,train
5402,computer file,backup file,268,train
5403,computer file,text file,268,train
5404,computer file,output file,268,train
5405,computer file,binary file,268,train
5406,text file,web page,268,train
5407,text file,ASCII text file,268,train
5408,web page,home page,268,train
5409,ASCII text file,source code,268,train
5830,low explosive,firework,292,train
5831,firework,sparkler,292,train
5832,firework,torpedo,292,train
5833,firework,maroon,292,train
5834,firework,skyrocket,292,train
5835,firework,Roman candle,292,train
5836,firework,firecracker,292,train
5837,firework,serpent,292,train
5838,firework,squib,292,train
5839,firework,fizgig,292,train
5840,firework,catherine wheel,292,train
5841,firecracker,cherry bomb,292,train
